iter	Passed	Remaining
165	705	3544
166	708	3532
167	711	3522
168	714	3512
169	717	3503
170	720	3493
171	723	3484
172	727	3475
173	730	3467
174	733	3459
175	737	3451
176	740	3443
177	743	3433
178	746	3424
179	749	3415
180	752	3407
181	756	3398
182	759	3390
183	762	3381
184	765	3373
185	768	3364
186	771	3356
187	775	3347
188	778	3338
189	781	3330
190	784	3322
191	787	3314
192	790	3306
193	794	3298
194	797	3291
195	800	3283
196	803	3275
197	807	3268
198	810	3261
199	813	3254
200	816	3247
201	820	3239
202	823	3232
203	826	3224
204	829	3216
205	832	3209
206	835	3201
207	838	3194
208	842	3187
209	845	3179
210	848	3172
211	851	3165
212	854	3157
213	857	3150
214	860	3143
215	864	3136
216	867	3129
217	870	3121
218	873	3114
219	876	3107
220	879	3100
221	882	3094
222	886	3087
223	889	3080
224	892	3073
225	895	3067
226	898	3060
227	901	3052
228	904	3046
229	907	3039
230	911	3033
231	914	3026
232	917	3020
233	920	3014
234	924	3008
235	927	3002
236	930	2996
237	934	2990
238	937	2983
239	940	2977
240	943	2972
241	947	2966
242	953	2971
243	957	2966
244	961	2961
245	964	2956
246	967	2950
247	971	2944
248	974	2939
249	977	2933
250	981	2927
251	984	2922
252	987	2916
253	991	2911
254	994	2905
255	997	2899
256	1001	2894
257	1004	2889
258	1008	2884
259	1011	2879
260	1015	2874
261	1018	2869
262	1022	2864
263	1025	2859
264	1029	2855
265	1033	2850
266	1036	2846
267	1040	2841
268	1043	2836
269	1047	2831
270	1050	2826
271	1054	2822
272	1058	2817
273	1061	2812
274	1097	2894
275	1108	2908
276	1113	2907
277	1119	2906
278	1124	2904
279	1128	2902
280	1132	2898
281	1136	2893
282	1141	2891
283	1146	2889
284	1151	2888
285	1155	2883
286	1158	2878
287	1162	2873
288	1165	2868
289	1169	2862
290	1173	2858
291	1178	2857
292	1181	2851
293	1185	2846
294	1189	2841
295	1194	2840
296	1197	2835
297	1201	2829
298	1204	2824
299	1209	2821
300	1212	2815
301	1215	2809
302	1219	2804
303	1223	2802
304	1227	2796
305	1230	2790
306	1233	2784
307	1237	2779
308	1241	2776
309	1245	2771
310	1248	2765
311	1251	2760
312	1255	2756
313	1259	2751
314	1262	2746
315	1266	2740
316	1270	2736
317	1273	2731
318	1277	2726
319	1280	2720
320	1284	2716
321	1288	2713
322	1291	2707
323	1294	2701
324	1298	2695
325	1302	2692
326	1306	2688
327	1309	2682
328	1312	2677
329	1316	2672
330	1320	2668
331	1323	2662
332	1326	2657
333	1329	2651
334	1334	2648
335	1338	2644
336	1341	2639
337	1344	2633
338	1348	2629
339	1352	2626
340	1356	2620
341	1359	2615
342	1362	2609
343	1365	2604
344	1368	2598
345	1372	2593
346	1375	2587
347	1378	2582
348	1381	2577
349	1385	2572
350	1388	2566
351	1391	2561
352	1394	2556
353	1397	2550
354	1400	2545
355	1403	2539
356	1407	2534
357	1410	2529
358	1413	2524
359	1417	2519
360	1421	2515
361	1425	2511
362	1428	2507
363	1432	2502
364	1435	2497
365	1439	2492
366	1442	2488
367	1445	2483
368	1449	2478
369	1452	2473
370	1455	2468
371	1459	2463
372	1463	2459
373	1467	2456
374	1470	2451
375	1473	2446
376	1477	2441
377	1480	2436
378	1483	2431
379	1486	2425
380	1490	2420
381	1493	2416
382	1496	2411
383	1500	2406
384	1503	2401
385	1506	2396
386	1510	2391
387	1513	2386
388	1516	2381
389	1519	2377
390	1523	2372
391	1526	2367
392	1529	2362
393	1532	2357
394	1536	2352
395	1539	2347
396	1542	2342
397	1545	2337
398	1548	2332
399	1552	2328
400	1555	2323
401	1558	2318
402	1561	2313
403	1564	2308
404	1568	2303
405	1571	2299
406	1574	2294
407	1577	2289
408	1580	2284
409	1584	2279
410	1587	2274
411	1590	2270
412	1593	2265
413	1596	2260
414	1600	2255
415	1603	2250
416	1606	2245
417	1609	2241
418	1612	2236
419	1615	2231
420	1618	2226
421	1622	2221
422	1625	2216
423	1628	2212
424	1631	2207
425	1635	2203
426	1638	2198
427	1641	2193
428	1644	2189
429	1647	2184
